#          time         x_star         y_star           x_p1           y_p1           x_p2           y_p2           x_p3           y_p3           x_p4           y_p4 
       2.76923    -0.00048243    -0.00664752       0.100914        2.02279       0.952064      -0.308708       0.134605      -0.497221       0.169427      -0.127341 
       2.78846   -0.000340891    -0.00666953      0.0547337        2.02451       0.970153      -0.245092       0.222298      -0.465522       0.205853      0.0114969 
       2.80769   -0.000194904     -0.0066894      0.0085247        2.02517       0.983982      -0.180429        0.30267      -0.418719       0.150722        0.14263 
       2.82692   -4.52177e-05    -0.00670514     -0.0376888        2.02477       0.993493      -0.115001       0.373159       -0.35846      0.0319594       0.212497 
       2.84615     0.00010663    -0.00671583     -0.0838825        2.02331       0.998643     -0.0490963       0.431573      -0.286808     -0.0999508       0.200908 
       2.86538    0.000259206    -0.00672158      -0.130032        2.02078       0.999412      0.0169963        0.47615      -0.206166      -0.199053       0.119372 
       2.88462    0.000411564    -0.00672308      -0.176114         2.0172       0.995796      0.0829868       0.505606      -0.119178      -0.235527    -0.00211408 
       2.90385    0.000563314    -0.00672133      -0.222103        2.01256       0.987812       0.148586       0.519152     -0.0286395      -0.197795      -0.124791 
       2.92308     0.00071468    -0.00671737      -0.267976        2.00687       0.975493       0.213505       0.516505      0.0625909     -0.0942548      -0.207376 
       2.94231    0.000866611    -0.00671206      -0.313709        2.00012       0.958895        0.27746       0.497879       0.151681      0.0433494      -0.215115 
       2.96154     0.00102071    -0.00670547      -0.359277        1.99233       0.938089       0.340171       0.463961       0.235905       0.162166      -0.136797 
       2.98077     0.00117853    -0.00669636      -0.404656        1.98348       0.913167       0.401361       0.415883       0.312714        0.20929    -0.00112858 
             3     0.00134048    -0.00668252      -0.449824         1.9736       0.884237       0.460761       0.355175       0.379802        0.16536       0.132852 
       3.01923     0.00150546    -0.00666195      -0.494755        1.96269       0.851425       0.518112       0.283725       0.435161      0.0548119       0.211872 
       3.03846      0.0016716     -0.0066337      -0.539427        1.95074       0.814876       0.573159       0.203719       0.477133     -0.0758883          0.213 
       3.05769     0.00183706    -0.00659784      -0.583815        1.93777       0.774749       0.625661       0.117588       0.504447       -0.18191        0.14237 
